	symbol	Date	Open	High	Low	Close	Adj Close	Volume	symbolRowNum
0	DMART.NS	2022-02-28	4155.0	4355.0	4062.10009765625	4340.35009765625	4340.35009765625	647569	0.0
1	DMART.NS	2022-03-02	4299.9501953125	4446.9501953125	4270.0	4295.14990234375	4295.14990234375	479507	1.0
2	DMART.NS	2022-03-03	4370.0	4395.0	4253.89990234375	4276.5	4276.5	303425	2.0
3	DMART.NS	2022-03-04	4260.2001953125	4260.2001953125	4075.050048828125	4110.2001953125	4110.2001953125	437691	3.0
4	DMART.NS	2022-03-07	4001.0	4175.0	3970.800048828125	3991.64990234375	3991.64990234375	694633	4.0
5	DMART.NS	2022-03-08	4016.0	4160.0	3992.39990234375	4124.0	4124.0	713004	5.0
6	DMART.NS	2022-03-09	4155.0	4172.89990234375	4071.10009765625	4096.7001953125	4096.7001953125	395071	6.0
7	DMART.NS	2022-03-10	4210.0	4239.89990234375	4142.2998046875	4168.60009765625	4168.60009765625	439778	7.0
8	DMART.NS	2022-03-11	4167.0	4210.0	4109.25	4198.9501953125	4198.9501953125	387534	8.0
9	DMART.NS	2022-03-14	4190.0	4218.0	4150.0	4168.25	4168.25	305326	9.0
10	DMART.NS	2022-03-15	4191.0	4251.0	4171.75	4231.0498046875	4231.0498046875	560819	10.0
11	DMART.NS	2022-03-16	4229.75	4243.60009765625	4153.0	4169.5498046875	4169.5498046875	470355	11.0
12	DMART.NS	2022-03-17	4218.0	4239.0	4166.10009765625	4192.75	4192.75	608024	12.0
13	DMART.NS	2022-03-21	4217.0	4217.0	4080.60009765625	4095.199951171875	4095.199951171875	370641	13.0
14	DMART.NS	2022-03-22	4129.0	4129.0	4031.0	4054.0	4054.0	396898	14.0
15	DMART.NS	2022-03-23	4085.699951171875	4119.0	4064.60009765625	4091.35009765625	4091.35009765625	285639	15.0
16	DMART.NS	2022-03-24	4086.25	4086.25	4031.550048828125	4042.85009765625	4042.85009765625	374573	16.0
17	DMART.NS	2022-03-25	4069.0	4069.0	3995.0	4001.300048828125	4001.300048828125	440558	17.0
18	DMART.NS	2022-03-28	4005.14990234375	4021.0	3975.050048828125	4010.050048828125	4010.050048828125	428027	18.0
19	DMART.NS	2022-03-29	4010.050048828125	4037.800048828125	3985.0	4006.10009765625	4006.10009765625	397614	19.0
20	DMART.NS	2022-03-30	4025.0	4084.0	3945.0	3973.39990234375	3973.39990234375	580732	20.0
21	DMART.NS	2022-03-31	4028.0	4040.0	3983.050048828125	4003.35009765625	4003.35009765625	492437	21.0
22	DMART.NS	2022-04-01	4013.0	4093.0	4000.0	4082.199951171875	4082.199951171875	416596	22.0
23	DMART.NS	2022-04-04	4120.0	4150.0	4076.14990234375	4106.64990234375	4106.64990234375	438581	23.0
24	DMART.NS	2022-04-05	4138.75	4148.0	4100.0	4109.7001953125	4109.7001953125	277248	24.0
25	DMART.NS	2022-04-06	4090.0	4139.7998046875	4085.60009765625	4101.89990234375	4101.89990234375	218183	25.0
26	DMART.NS	2022-04-07	4099.89990234375	4244.0	4092.0	4159.7001953125	4159.7001953125	979784	26.0
27	DMART.NS	2022-04-08	4165.0	4208.0	4118.0	4146.25	4146.25	358035	27.0
28	DMART.NS	2022-04-11	4136.7998046875	4200.0	4130.0498046875	4171.60009765625	4171.60009765625	202944	28.0
29	DMART.NS	2022-04-12	4174.9501953125	4174.9501953125	4075.0	4088.699951171875	4088.699951171875	228548	29.0
30	DMART.NS	2022-04-13	4101.0	4117.9501953125	4081.699951171875	4090.89990234375	4090.89990234375	157516	30.0
31	DMART.NS	2022-04-18	4065.0	4079.0	4009.0	4056.0	4056.0	193904	31.0
32	DMART.NS	2022-04-19	4089.89990234375	4131.89990234375	3975.0	4008.89990234375	4008.89990234375	222195	32.0
33	DMART.NS	2022-04-20	4026.0	4065.0	4000.0	4054.800048828125	4054.800048828125	222817	33.0
34	DMART.NS	2022-04-21	4075.0	4080.0	4015.0	4030.25	4030.25	209196	34.0
35	DMART.NS	2022-04-22	4028.64990234375	4060.050048828125	3995.75	4028.85009765625	4028.85009765625	210640	35.0
36	DMART.NS	2022-04-25	4000.0	4022.35009765625	3975.050048828125	3989.199951171875	3989.199951171875	204726	36.0
37	DMART.NS	2022-04-26	4009.800048828125	4050.0	3994.39990234375	4044.25	4044.25	198101	37.0
38	DMART.NS	2022-04-27	4006.10009765625	4024.35009765625	3960.0	3977.699951171875	3977.699951171875	169916	38.0
39	DMART.NS	2022-04-28	4023.89990234375	4054.0	3995.550048828125	4024.550048828125	4024.550048828125	247751	39.0
40	DMART.NS	2022-04-29	4048.89990234375	4085.0	3906.0	3944.25	3944.25	238651	40.0
41	DMART.NS	2022-05-02	3939.60009765625	3997.800048828125	3889.0	3983.35009765625	3983.35009765625	265831	41.0
42	DMART.NS	2022-05-04	4000.0	4023.949951171875	3850.199951171875	3867.14990234375	3867.14990234375	270400	42.0
43	DMART.NS	2022-05-05	3920.0	3980.0	3775.0	3943.800048828125	3943.800048828125	457770	43.0
44	DMART.NS	2022-05-06	3866.0	3889.64990234375	3602.14990234375	3666.199951171875	3666.199951171875	858787	44.0
